https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1574985600,2019-11-29 00:00:00,ETH/GBP,118.01,122.34,118.01,120.29,5184.96,43.08
1574899200,2019-11-28 00:00:00,ETH/GBP,119.51,120.05,116.54,117.34,1742.48,14.73
1574812800,2019-11-27 00:00:00,ETH/GBP,115.79,121.02,110.47,119.51,67729.9,583.68
1574726400,2019-11-26 00:00:00,ETH/GBP,113.86,116.72,112.45,115.79,260775.23,2281.71
1574640000,2019-11-25 00:00:00,ETH/GBP,109.8,117.2,104.05,113.86,335845.89,2999.29
1574553600,2019-11-24 00:00:00,ETH/GBP,119.5,119.5,109.33,109.8,202435.21,1814.89
1574467200,2019-11-23 00:00:00,ETH/GBP,116.06,120.5,114.73,119.5,198446.87,1699.44
1574380800,2019-11-22 00:00:00,ETH/GBP,125.63,126.48,108.9,116.06,508306.63,4347.63
1574294400,2019-11-21 00:00:00,ETH/GBP,135.67,135.92,121.53,125.41,300057.57,2361.8
1574208000,2019-11-20 00:00:00,ETH/GBP,135.16,137.81,134.64,135.67,115816.22,850.95
1574121600,2019-11-19 00:00:00,ETH/GBP,137.34,138.05,134.0,135.16,74894.27,554.77
1574035200,2019-11-18 00:00:00,ETH/GBP,143.27,143.27,135.56,137.34,226951.95,1640.33
1573948800,2019-11-17 00:00:00,ETH/GBP,141.98,144.11,140.5,143.27,73273.58,521.21
1573862400,2019-11-16 00:00:00,ETH/GBP,139.97,141.98,139.24,141.98,1700.14,12.01
1573776000,2019-11-15 00:00:00,ETH/GBP,143.8,145.87,138.72,139.97,406297.03,2846.23
1573689600,2019-11-14 00:00:00,ETH/GBP,147.74,147.74,143.0,144.08,2062.32,14.29
1573603200,2019-11-13 00:00:00,ETH/GBP,145.0,147.75,144.67,147.74,1889.46,12.96
1573516800,2019-11-12 00:00:00,ETH/GBP,144.07,145.76,142.38,145.0,2468.85,17.07
1573430400,2019-11-11 00:00:00,ETH/GBP,148.12,148.3,144.07,144.07,2820.58,19.43
1573344000,2019-11-10 00:00:00,ETH/GBP,145.25,150.19,143.84,148.12,54698.77,365.75
1573257600,2019-11-09 00:00:00,ETH/GBP,143.9,145.25,143.14,145.25,62706.08,432.36
1573171200,2019-11-08 00:00:00,ETH/GBP,146.87,146.87,141.31,143.9,297917.74,2083.73
1573084800,2019-11-07 00:00:00,ETH/GBP,149.64,149.8,143.84,145.6,3678.07,25.37
1572998400,2019-11-06 00:00:00,ETH/GBP,147.02,151.41,146.78,149.64,426.66,2.866
1572912000,2019-11-05 00:00:00,ETH/GBP,145.13,149.73,142.05,147.02,435391.6,2939.41
1572825600,2019-11-04 00:00:00,ETH/GBP,141.09,147.41,140.35,145.13,9932.96,68.03
1572739200,2019-11-03 00:00:00,ETH/GBP,142.0,142.51,139.22,141.09,2859.4,20.34
1572652800,2019-11-02 00:00:00,ETH/GBP,142.16,144.03,141.33,142.0,2675.21,18.78
1572566400,2019-11-01 00:00:00,ETH/GBP,141.05,143.29,137.38,142.16,4609.86,32.64
1572480000,2019-10-31 00:00:00,ETH/GBP,142.13,143.39,138.03,140.82,8437.52,59.82
1572393600,2019-10-30 00:00:00,ETH/GBP,148.77,149.44,139.98,142.13,14802.15,103.18
1572307200,2019-10-29 00:00:00,ETH/GBP,142.03,150.31,142.03,148.77,16175.11,110.74
1572220800,2019-10-28 00:00:00,ETH/GBP,143.75,147.83,141.3,142.03,9833.31,68.51
1572134400,2019-10-27 00:00:00,ETH/GBP,139.15,146.96,139.15,143.75,19898.07,140.45
1572048000,2019-10-26 00:00:00,ETH/GBP,141.85,154.73,136.34,139.15,113882.0,774.9
1571961600,2019-10-25 00:00:00,ETH/GBP,125.73,145.48,125.49,141.85,200640.09,1424.38
1571875200,2019-10-24 00:00:00,ETH/GBP,125.78,127.02,122.13,125.73,37188.16,299.22
1571788800,2019-10-23 00:00:00,ETH/GBP,133.04,133.83,118.9,125.78,107911.34,863.11
1571702400,2019-10-22 00:00:00,ETH/GBP,134.42,135.56,133.04,133.04,2798.97,20.84
1571616000,2019-10-21 00:00:00,ETH/GBP,135.9,137.5,133.43,134.42,5056.54,37.16
1571529600,2019-10-20 00:00:00,ETH/GBP,132.71,136.74,131.61,135.9,3456.85,25.68
1571443200,2019-10-19 00:00:00,ETH/GBP,133.81,134.73,131.57,132.71,2009.31,15.1
1571356800,2019-10-18 00:00:00,ETH/GBP,136.88,138.17,131.02,133.81,10666.07,79.89
1571270400,2019-10-17 00:00:00,ETH/GBP,136.56,138.93,135.95,136.88,5966.29,43.23
1571184000,2019-10-16 00:00:00,ETH/GBP,141.69,141.69,135.15,136.56,1233.01,8.956
1571097600,2019-10-15 00:00:00,ETH/GBP,147.81,149.13,138.77,141.69,69890.56,498.87
1571011200,2019-10-14 00:00:00,ETH/GBP,143.88,149.17,143.88,147.81,12374.42,83.59
1570924800,2019-10-13 00:00:00,ETH/GBP,142.57,145.77,142.37,143.88,3968.68,27.81
1570838400,2019-10-12 00:00:00,ETH/GBP,143.46,145.85,141.11,142.57,8057.55,56.77
1570752000,2019-10-11 00:00:00,ETH/GBP,155.15,155.65,141.51,143.46,41663.35,285.01
1570665600,2019-10-10 00:00:00,ETH/GBP,159.04,159.04,154.47,155.15,773.89,4.979
1570579200,2019-10-09 00:00:00,ETH/GBP,148.78,159.3,147.5,159.04,72570.65,470.51
1570492800,2019-10-08 00:00:00,ETH/GBP,148.2,150.17,145.96,148.78,11688.58,79.02
1570406400,2019-10-07 00:00:00,ETH/GBP,138.42,148.41,137.51,148.2,12662.25,87.58
1570320000,2019-10-06 00:00:00,ETH/GBP,143.24,143.4,136.41,138.42,10210.85,73.78
1570233600,2019-10-05 00:00:00,ETH/GBP,144.04,144.04,140.27,143.24,1025.75,7.222
1570147200,2019-10-04 00:00:00,ETH/GBP,142.6,145.42,139.94,144.04,1354.6,9.504
1570060800,2019-10-03 00:00:00,ETH/GBP,147.03,147.04,137.28,142.6,13148.73,94.59
1569974400,2019-10-02 00:00:00,ETH/GBP,143.77,148.0,142.61,147.03,4454.51,30.49
1569888000,2019-10-01 00:00:00,ETH/GBP,145.35,150.86,142.45,143.77,12481.25,84.69
1569801600,2019-09-30 00:00:00,ETH/GBP,138.25,147.47,134.84,145.35,84156.0,592.88
1569715200,2019-09-29 00:00:00,ETH/GBP,141.68,142.0,134.83,138.25,19632.42,143.77
1569628800,2019-09-28 00:00:00,ETH/GBP,142.33,143.19,138.18,141.68,12883.14,91.3
1569542400,2019-09-27 00:00:00,ETH/GBP,135.37,143.99,131.91,142.33,17079.5,125.32
1569456000,2019-09-26 00:00:00,ETH/GBP,138.24,138.59,124.17,135.37,135609.91,1043.89
1569369600,2019-09-25 00:00:00,ETH/GBP,134.55,140.0,131.59,138.24,16079.09,117.78
