https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1576713600,2019-12-19 00:00:00,ETH/EUR,120.09,121.22,113.64,115.77,403071.63,3470.06
1576627200,2019-12-18 00:00:00,ETH/EUR,110.23,121.52,105.0,120.09,1250520.96,10988.9
1576540800,2019-12-17 00:00:00,ETH/EUR,119.78,119.78,107.95,110.23,924195.6,8066.68
1576454400,2019-12-16 00:00:00,ETH/EUR,128.64,128.9,116.88,119.78,906118.84,7449.08
1576368000,2019-12-15 00:00:00,ETH/EUR,128.2,130.15,126.43,128.64,193656.16,1508.9
1576281600,2019-12-14 00:00:00,ETH/EUR,130.73,131.02,127.3,128.2,162955.45,1266.4
1576195200,2019-12-13 00:00:00,ETH/EUR,130.08,130.99,128.71,130.73,238394.86,1835.53
1576108800,2019-12-12 00:00:00,ETH/EUR,129.16,132.37,125.81,130.15,700689.63,5394.24
1576022400,2019-12-11 00:00:00,ETH/EUR,131.94,132.59,128.34,129.16,314640.49,2419.65
1575936000,2019-12-10 00:00:00,ETH/EUR,133.86,134.66,130.18,131.94,242222.68,1828.76
1575849600,2019-12-09 00:00:00,ETH/EUR,136.91,137.42,133.17,133.86,320074.38,2364.4
1575763200,2019-12-08 00:00:00,ETH/EUR,134.05,138.0,132.43,136.91,228365.38,1687.65
1575676800,2019-12-07 00:00:00,ETH/EUR,135.26,136.14,133.61,134.05,161220.17,1197.62
1575590400,2019-12-06 00:00:00,ETH/EUR,134.25,136.35,132.14,135.26,429646.67,3193.26
1575504000,2019-12-05 00:00:00,ETH/EUR,131.95,135.16,130.57,133.93,317739.46,2384.49
1575417600,2019-12-04 00:00:00,ETH/EUR,133.95,139.88,130.1,131.95,1051993.28,7773.05
1575331200,2019-12-03 00:00:00,ETH/EUR,135.14,136.28,132.03,133.95,253697.79,1891.54
1575244800,2019-12-02 00:00:00,ETH/EUR,138.07,138.39,133.62,135.14,311735.56,2301.68
1575158400,2019-12-01 00:00:00,ETH/EUR,138.58,139.36,133.21,138.07,342671.25,2516.92
1575072000,2019-11-30 00:00:00,ETH/EUR,140.82,142.07,136.32,138.58,247281.78,1780.94
1574985600,2019-11-29 00:00:00,ETH/EUR,137.45,144.11,137.26,140.82,460298.84,3262.34
1574899200,2019-11-28 00:00:00,ETH/EUR,139.21,141.23,136.33,137.57,483403.07,3478.39
1574812800,2019-11-27 00:00:00,ETH/EUR,134.85,142.25,129.02,139.21,899649.58,6637.76
1574726400,2019-11-26 00:00:00,ETH/EUR,133.67,136.95,131.33,134.85,552708.36,4136.38
1574640000,2019-11-25 00:00:00,ETH/EUR,127.82,138.62,121.21,133.67,1690533.16,13112.74
1574553600,2019-11-24 00:00:00,ETH/EUR,138.67,139.25,127.02,127.82,398605.81,3002.87
1574467200,2019-11-23 00:00:00,ETH/EUR,136.77,140.6,133.63,138.67,417583.19,3045.25
1574380800,2019-11-22 00:00:00,ETH/EUR,146.58,147.57,125.12,136.77,1441974.27,10547.41
1574294400,2019-11-21 00:00:00,ETH/EUR,158.2,159.1,141.43,146.37,1060050.21,7163.04
1574208000,2019-11-20 00:00:00,ETH/EUR,159.09,160.87,157.17,158.2,322905.15,2031.0
1574121600,2019-11-19 00:00:00,ETH/EUR,161.3,161.62,156.5,159.09,374660.24,2354.76
1574035200,2019-11-18 00:00:00,ETH/EUR,166.91,167.32,158.54,161.3,582670.75,3569.33
1573948800,2019-11-17 00:00:00,ETH/EUR,165.52,169.13,163.79,166.91,262578.29,1571.76
1573862400,2019-11-16 00:00:00,ETH/EUR,163.07,166.44,162.43,165.52,156967.19,953.46
1573776000,2019-11-15 00:00:00,ETH/EUR,168.06,170.66,160.5,163.07,1186501.89,7158.56
1573689600,2019-11-14 00:00:00,ETH/EUR,171.27,171.72,166.48,167.88,363796.24,2161.83
1573603200,2019-11-13 00:00:00,ETH/EUR,170.1,172.76,168.41,171.27,438183.82,2568.86
1573516800,2019-11-12 00:00:00,ETH/EUR,167.81,170.5,165.5,170.1,468783.78,2782.73
1573430400,2019-11-11 00:00:00,ETH/EUR,172.03,173.18,166.95,167.81,444702.73,2626.32
1573344000,2019-11-10 00:00:00,ETH/EUR,168.0,174.4,166.59,172.03,1038770.49,6015.72
1573257600,2019-11-09 00:00:00,ETH/EUR,167.02,168.45,165.91,168.0,169891.74,1014.31
1573171200,2019-11-08 00:00:00,ETH/EUR,169.01,170.46,163.62,167.02,577682.58,3464.39
