https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1699056000000,2023-11-04 00:00:00,ETH/UST,1832.4,1868.6,1824.4,1855.8,926872.375821858,499.44626351
1698969600000,2023-11-03 00:00:00,ETH/UST,1800.7,1834.2,1777.3,1831.5,1121460.76117548,612.31818792
1698883200000,2023-11-02 00:00:00,ETH/UST,1846.7,1873.6,1785.1,1800.1,1464095.9141193319,813.34143332
1698796800000,2023-11-01 00:00:00,ETH/UST,1814.4,1857.6,1784.1,1846.3,2724341.524050394,1475.56817638
1698710400000,2023-10-31 00:00:00,ETH/UST,1809.2,1818.9,1782.0,1815.4,827571.7693797221,455.86194193
1698624000000,2023-10-30 00:00:00,ETH/UST,1794.7,1829.9,1778.5,1809.2,1305184.091145956,721.41504043
1698537600000,2023-10-29 00:00:00,ETH/UST,1776.0,1811.3,1763.6,1794.5,987569.522569535,550.33130263
1698451200000,2023-10-28 00:00:00,ETH/UST,1779.3,1802.8,1770.0,1776.0,429693.1657776,241.9443501
1698364800000,2023-10-27 00:00:00,ETH/UST,1803.6,1803.8,1744.9,1779.5,2711105.2217639554,1523.5207764900001
1698278400000,2023-10-26 00:00:00,ETH/UST,1787.1,1865.3,1761.5,1803.9,2383013.177725362,1321.03396958
1698192000000,2023-10-25 00:00:00,ETH/UST,1784.7,1816.7,1760.5,1786.3,1191439.259689406,666.98721362
1698105600000,2023-10-24 00:00:00,ETH/UST,1765.4,1853.9,1756.7,1783.7,4729627.48728186,2651.5823778
1698019200000,2023-10-23 00:00:00,ETH/UST,1663.4,1798.5,1657.6,1765.1,6946600.965686523,3935.52827924
1697932800000,2023-10-22 00:00:00,ETH/UST,1628.6,1667.8,1620.6,1662.6,1610547.7101603898,968.69223515
1697846400000,2023-10-21 00:00:00,ETH/UST,1604.1,1643.6,1592.7,1628.4,712299.7840517281,437.42310492
1697760000000,2023-10-20 00:00:00,ETH/UST,1566.9,1629.3,1561.7,1604.1,1122569.370421716,699.81258676
1697673600000,2023-10-19 00:00:00,ETH/UST,1563.1,1574.2,1542.2,1566.9,1015696.727476209,648.22051661
1697587200000,2023-10-18 00:00:00,ETH/UST,1565.0,1584.6,1555.7,1563.1,968599.142643594,619.66549974
1697500800000,2023-10-17 00:00:00,ETH/UST,1599.7,1600.1,1552.3,1565.0,1063585.73879895,679.60750083
1697414400000,2023-10-16 00:00:00,ETH/UST,1557.7,1641.1,1555.2,1599.7,1988553.9620009142,1243.07930362
1697328000000,2023-10-15 00:00:00,ETH/UST,1554.8,1565.9,1549.0,1557.7,562849.458304195,361.33367035
1697241600000,2023-10-14 00:00:00,ETH/UST,1552.0,1561.5,1544.9,1554.9,778743.443114079,500.83184971
1697155200000,2023-10-13 00:00:00,ETH/UST,1540.0,1574.1,1538.2,1552.0,667785.31237696,430.27404148
1697068800000,2023-10-12 00:00:00,ETH/UST,1566.7,1567.9,1521.3,1540.1,2313555.732184481,1502.21137081
1696982400000,2023-10-11 00:00:00,ETH/UST,1567.7,1578.3,1545.0,1566.4,1525274.8945119842,973.74546381
1696896000000,2023-10-10 00:00:00,ETH/UST,1580.0,1594.3,1551.3,1567.7,676924.1542483601,431.7944468
1696809600000,2023-10-09 00:00:00,ETH/UST,1632.9,1635.3,1547.9,1579.8,2132344.10802027,1349.75573365
1696723200000,2023-10-08 00:00:00,ETH/UST,1633.6,1641.5,1616.6,1633.1,273776.088648461,167.64196231
1696636800000,2023-10-07 00:00:00,ETH/UST,1644.9,1647.8,1630.1,1633.7,344641.504440456,210.95764488
1696550400000,2023-10-06 00:00:00,ETH/UST,1611.5,1660.3,1611.5,1645.2,881889.547716648,536.03789674
1696464000000,2023-10-05 00:00:00,ETH/UST,1646.7,1654.8,1606.1,1611.5,1548791.775869855,961.08704677
1696377600000,2023-10-04 00:00:00,ETH/UST,1657.1,1657.1,1624.4,1646.8,714154.98778322,433.66224665
1696291200000,2023-10-03 00:00:00,ETH/UST,1662.7,1670.5,1644.2,1656.2,874849.507184016,528.22696968
1696204800000,2023-10-02 00:00:00,ETH/UST,1733.5,1743.3,1637.0,1662.8,1702105.667417476,1023.63824117
1696118400000,2023-10-01 00:00:00,ETH/UST,1670.8,1759.4,1669.1,1732.9,2735097.071320523,1578.33520187
1696032000000,2023-09-30 00:00:00,ETH/UST,1667.5,1693.5,1666.4,1671.2,865526.561756568,517.90722939
1695945600000,2023-09-29 00:00:00,ETH/UST,1652.9,1687.6,1648.7,1667.8,2308866.001019876,1384.37822342
1695859200000,2023-09-28 00:00:00,ETH/UST,1598.4,1667.9,1598.0,1653.0,1707290.54883813,1032.84364721
1695772800000,2023-09-27 00:00:00,ETH/UST,1594.0,1634.2,1585.0,1598.6,975388.0823284559,610.15143396
1695686400000,2023-09-26 00:00:00,ETH/UST,1588.3,1600.0,1580.6,1593.3,493950.352850286,310.01716742
1695600000000,2023-09-25 00:00:00,ETH/UST,1580.6,1597.1,1564.1,1588.8,702511.59097512,442.16489865
1695513600000,2023-09-24 00:00:00,ETH/UST,1593.6,1600.6,1570.5,1580.4,530614.1194488,335.746722
1695427200000,2023-09-23 00:00:00,ETH/UST,1593.3,1598.0,1588.2,1592.8,215485.56512137598,135.28727092
1695340800000,2023-09-22 00:00:00,ETH/UST,1584.2,1602.4,1578.1,1593.2,360372.496264368,226.19413524
1695254400000,2023-09-21 00:00:00,ETH/UST,1620.9,1624.8,1568.8,1584.7,1437964.148236967,907.40464961
