https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ETH
1699920000000,2023-11-14 00:00:00,ETH/BTC,0.056323,0.056515,0.055359,0.055671,1696.4513926878233,30472.80258461
1699833600000,2023-11-13 00:00:00,ETH/BTC,0.055167,0.057331,0.055081,0.056296,115.09689932075368,2044.49515633
1699747200000,2023-11-12 00:00:00,ETH/BTC,0.055301,0.055542,0.05475,0.05518,116.1331651029988,2104.62423166
1699660800000,2023-11-11 00:00:00,ETH/BTC,0.05567,0.056196,0.054826,0.055272,384.3509528970216,6953.8093953
1699574400000,2023-11-10 00:00:00,ETH/BTC,0.057806,0.058082,0.055583,0.055671,1746.2916780681487,31368.06736125
1699488000000,2023-11-09 00:00:00,ETH/BTC,0.053,0.057936,0.051335,0.057785,900.9534926248948,15591.47689928
1699401600000,2023-11-08 00:00:00,ETH/BTC,0.053257,0.053745,0.052605,0.053,41.03697988184,774.28263928
1699315200000,2023-11-07 00:00:00,ETH/BTC,0.054248,0.054318,0.053138,0.053259,41.21240270875446,773.81104994
1699228800000,2023-11-06 00:00:00,ETH/BTC,0.054059,0.054415,0.053754,0.054196,25.39831805829176,468.63824006
1699142400000,2023-11-05 00:00:00,ETH/BTC,0.052915,0.054341,0.052855,0.054047,44.11585296816397,816.24980051
1699056000000,2023-11-04 00:00:00,ETH/BTC,0.052804,0.053103,0.052531,0.052963,27.45162701177669,518.31707063
1698969600000,2023-11-03 00:00:00,ETH/BTC,0.051555,0.052891,0.051549,0.052767,27.47460782284218,520.67784454
1698883200000,2023-11-02 00:00:00,ETH/BTC,0.052074,0.052454,0.051534,0.051534,38.1577189724262,740.4377493
1698796800000,2023-11-01 00:00:00,ETH/BTC,0.05239,0.053467,0.051896,0.05211,32.315265484426796,620.13558788
1698710400000,2023-10-31 00:00:00,ETH/BTC,0.052479,0.052566,0.052184,0.052395,34.75430454876765,663.31338007
1698624000000,2023-10-30 00:00:00,ETH/BTC,0.051954,0.052989,0.051903,0.052447,21.75406450722108,414.78186564
1698537600000,2023-10-29 00:00:00,ETH/BTC,0.052137,0.05234,0.051765,0.051969,4.83341700196599,93.00577271
1698451200000,2023-10-28 00:00:00,ETH/BTC,0.052498,0.052622,0.052001,0.05207,17.780935587295698,341.48138251
1698364800000,2023-10-27 00:00:00,ETH/BTC,0.05284,0.05284,0.052169,0.05249,29.9349894573126,570.29890374
1698278400000,2023-10-26 00:00:00,ETH/BTC,0.051818,0.05374,0.051551,0.052815,317.15556410043973,6005.02819465
1698192000000,2023-10-25 00:00:00,ETH/BTC,0.052618,0.052723,0.051445,0.051818,380.1737362273763,7336.71188057
1698105600000,2023-10-24 00:00:00,ETH/BTC,0.053392,0.053565,0.051763,0.05263,1159.4695832352647,22030.58299896
1698019200000,2023-10-23 00:00:00,ETH/BTC,0.05557,0.055635,0.051187,0.053385,340.24581807550305,6373.43482393
1697932800000,2023-10-22 00:00:00,ETH/BTC,0.054435,0.055521,0.05435,0.055483,45.28942484508424,816.27570328
1697846400000,2023-10-21 00:00:00,ETH/BTC,0.054079,0.054495,0.053846,0.054472,72.67591108912993,1334.18841036
1697760000000,2023-10-20 00:00:00,ETH/BTC,0.054557,0.054758,0.053892,0.054053,521.444335394474,9646.908319510001
1697673600000,2023-10-19 00:00:00,ETH/BTC,0.055175,0.055208,0.054309,0.054604,400.2074985674286,7329.27072316
1697587200000,2023-10-18 00:00:00,ETH/BTC,0.055106,0.055811,0.054604,0.055218,44.73615911317362,810.17347809
1697500800000,2023-10-17 00:00:00,ETH/BTC,0.056124,0.056398,0.054786,0.055069,201.79770092830677,3664.45188633
1697414400000,2023-10-16 00:00:00,ETH/BTC,0.057402,0.057485,0.0542,0.056138,663.3702489267054,11816.777386560001
1697328000000,2023-10-15 00:00:00,ETH/BTC,0.057931,0.057953,0.05732,0.057379,23.64117138946619,412.01783561
1697241600000,2023-10-14 00:00:00,ETH/BTC,0.057767,0.058,0.057539,0.057884,23.28868477005796,402.33371519
1697155200000,2023-10-13 00:00:00,ETH/BTC,0.057548,0.058064,0.057397,0.05776,34.5584330302016,598.31082116
1697068800000,2023-10-12 00:00:00,ETH/BTC,0.058288,0.058336,0.057241,0.057556,114.97226002415518,1997.57210411
1696982400000,2023-10-11 00:00:00,ETH/BTC,0.057238,0.058591,0.057122,0.05828,22.9161769726012,393.20825279
1696896000000,2023-10-10 00:00:00,ETH/BTC,0.05725,0.057575,0.05675,0.057244,119.75025207662352,2091.92670108
1696809600000,2023-10-09 00:00:00,ETH/BTC,0.058519,0.05857,0.056772,0.057281,168.40599857779347,2939.99753108
1696723200000,2023-10-08 00:00:00,ETH/BTC,0.05844,0.058703,0.058113,0.05846,81.89959633982299,1400.95101505
1696636800000,2023-10-07 00:00:00,ETH/BTC,0.058907,0.059003,0.058435,0.05845,19.707522531151,337.16890558
1696550400000,2023-10-06 00:00:00,ETH/BTC,0.058814,0.059326,0.058675,0.05889,21.4543760672553,364.31271977
1696464000000,2023-10-05 00:00:00,ETH/BTC,0.059275,0.059431,0.058561,0.0588,155.00487005421598,2636.13724582
1696377600000,2023-10-04 00:00:00,ETH/BTC,0.060428,0.060435,0.05929,0.05929,42.7709494575286,721.38555334
1696291200000,2023-10-03 00:00:00,ETH/BTC,0.060404,0.06061,0.060005,0.060357,63.05240672609901,1044.65773193
1696204800000,2023-10-02 00:00:00,ETH/BTC,0.061853,0.061944,0.0591,0.060475,99.7460484033625,1649.3765755
1696118400000,2023-10-01 00:00:00,ETH/BTC,0.061982,0.06275,0.061509,0.061949,48.48735538446421,782.69795129
1696032000000,2023-09-30 00:00:00,ETH/BTC,0.061971,0.06252,0.061799,0.061984,30.96426923485376,499.55261414
1695945600000,2023-09-29 00:00:00,ETH/BTC,0.061155,0.06225,0.061047,0.061976,64.16336210701456,1035.29369606
1695859200000,2023-09-28 00:00:00,ETH/BTC,0.060619,0.06157,0.060508,0.061177,38.21107503635023,624.59870599
1695772800000,2023-09-27 00:00:00,ETH/BTC,0.060776,0.061217,0.060605,0.060629,27.018412322840472,445.63513043
1695686400000,2023-09-26 00:00:00,ETH/BTC,0.060379,0.060777,0.060372,0.06077,14.5552218317437,239.51327681
1695600000000,2023-09-25 00:00:00,ETH/BTC,0.060223,0.06059,0.060128,0.060393,17.733564129115468,293.63608579
