Date,Open,High,Low,Close
12/03/2022,"16,576","16,690","16,470","16,518"
12/02/2022,"16,494","16,656","16,423","16,576"
12/01/2022,"16,659","16,766","16,439","16,494"
11/30/2022,"16,029","16,660","16,004","16,659"
11/29/2022,"15,775","16,101","15,678","16,029"
11/28/2022,"16,141","16,157","15,604","15,775"
11/27/2022,"16,081","16,158","15,966","16,141"
11/26/2022,"16,077","16,247","16,000","16,081"
11/25/2022,"16,110","16,177","15,929","16,077"
11/24/2022,"16,056","16,335","16,022","16,110"
11/23/2022,"15,720","16,192","15,675","16,056"
11/22/2022,"15,199","15,831","15,196","15,720"
11/21/2022,"15,831","15,909","15,107","15,199"
11/20/2022,"16,234","16,365","15,816","15,831"
11/19/2022,"16,210","16,271","16,124","16,234"
11/18/2022,"16,250","16,524","16,116","16,210"
11/17/2022,"16,110","16,291","15,983","16,250"
11/16/2022,"16,444","16,529","15,957","16,110"
11/15/2022,"15,969","16,652","15,921","16,444"
11/14/2022,"15,956","16,669","15,399","15,969"
11/13/2022,"16,359","16,474","15,830","15,956"
11/12/2022,"16,339","16,651","16,189","16,359"
11/11/2022,"17,347","17,396","16,005","16,339"
11/10/2022,"15,379","17,628","15,211","17,347"
11/09/2022,"18,228","18,240","15,285","15,379"
11/08/2022,"20,133","521,170","16,854","18,228"
11/07/2022,"20,586","20,631","20,088","20,133"
11/06/2022,"20,815","20,820","20,579","20,586"
11/05/2022,"20,600","20,931","20,540","20,815"
11/04/2022,"19,717","20,652","19,643","20,600"
11/03/2022,"19,670","19,860","19,544","19,717"
11/02/2022,"19,951","20,203","19,598","19,670"
11/01/2022,"19,880","20,135","19,842","19,951"
10/31/2022,"20,149","20,281","19,750","19,880"
10/30/2022,"20,325","20,403","20,046","20,153"
10/29/2022,"20,101","20,477","20,034","20,325"
10/28/2022,"19,890","20,202","19,537","20,115"
10/27/2022,"20,217","20,360","19,737","19,890"
10/26/2022,"19,650","20,443","19,505","20,217"
10/25/2022,"18,873","19,870","18,743","19,650"
10/24/2022,"18,994","19,166","18,673","18,873"
10/23/2022,"18,721","19,013","18,588","18,994"
10/22/2022,"18,683","18,754","18,624","18,723"
10/21/2022,"18,535","18,730","18,250","18,683"
10/20/2022,"18,700","18,803","18,447","18,530"
10/19/2022,"18,865","18,874","18,619","18,700"
10/18/2022,"19,022","19,174","18,619","18,872"
10/17/2022,"18,848","19,124","18,634","19,022"
10/16/2022,"18,609","18,893","18,519","18,852"
10/15/2022,"18,690","18,722","18,559","18,609"
10/14/2022,"18,881","19,401","18,645","18,690"
10/13/2022,"18,667","18,997","17,799","18,881"
10/12/2022,"18,534","18,692","18,508","18,653"
10/11/2022,"18,745","18,772","18,399","18,534"
10/10/2022,"18,973","19,013","18,642","18,745"
10/09/2022,"18,958","19,052","18,780","18,973"
10/08/2022,"19,044","19,135","18,922","18,958"
10/07/2022,"19,536","19,536","18,850","19,044"
10/06/2022,"19,505","19,909","19,376","19,530"
10/05/2022,"19,824","19,874","19,268","19,505"
10/04/2022,"19,083","19,892","19,007","19,824"
10/03/2022,"18,730","19,123","18,455","19,083"
10/02/2022,"18,752","18,890","18,569","18,734"
10/01/2022,"18,923","18,973","18,721","18,752"
09/30/2022,"18,979","19,610","18,702","18,917"
09/29/2022,"19,068","19,216","18,339","18,979"
09/28/2022,"18,562","19,116","18,028","19,059"
09/27/2022,"18,627","19,839","18,366","18,562"
09/26/2022,"18,399","18,789","18,179","18,640"
09/25/2022,"18,643","18,647","18,330","18,399"
09/24/2022,"18,365","18,885","18,327","18,643"
09/23/2022,"18,749","18,977","18,091","18,365"
09/22/2022,"18,429","18,967","17,718","18,749"
09/21/2022,"18,485","19,203","18,322","18,429"
09/20/2022,"19,015","19,154","18,317","18,480"
09/19/2022,"19,211","19,211","17,922","19,015"
09/18/2022,"19,562","19,626","19,091","19,211"
09/17/2022,"19,232","19,656","19,196","19,562"
09/16/2022,"19,323","19,381","18,859","19,232"
09/15/2022,"19,432","19,849","19,049","19,323"
09/14/2022,"19,730","19,957","19,138","19,432"
09/13/2022,"21,817","22,145","19,560","19,730"
09/12/2022,"21,084","21,886","20,944","21,817"
09/11/2022,"20,931","21,295","20,872","21,084"
09/10/2022,"20,734","21,151","20,644","20,931"
09/09/2022,"18,870","20,858","18,760","20,734"
09/08/2022,"18,892","18,947","18,589","18,870"
09/07/2022,"18,472","18,944","18,102","18,892"
09/06/2022,"19,232","19,626","18,250","18,472"
09/05/2022,"19,384","19,530","19,138","19,232"
09/04/2022,"19,228","19,420","19,099","19,384"
09/03/2022,"19,449","19,526","19,155","19,228"
09/02/2022,"19,557","19,884","19,267","19,449"
09/01/2022,"19,685","19,767","19,084","19,557"
08/31/2022,"19,459","19,947","19,252","19,685"
08/30/2022,"19,666","20,035","19,077","19,459"
08/29/2022,"19,482","19,852","19,039","19,666"
08/28/2022,"19,483","19,631","19,323","19,482"
08/27/2022,"20,123","20,148","19,359","19,483"
08/26/2022,"21,087","21,232","20,034","20,132"
08/25/2022,"21,132","21,242","20,755","21,087"
08/24/2022,"20,933","21,314","20,626","21,136"
08/23/2022,"20,579","21,039","20,384","20,933"
08/22/2022,"20,963","21,127","20,416","20,562"
08/21/2022,"20,316","21,162","20,275","20,963"
08/20/2022,"20,727","20,808","20,282","20,316"
08/19/2022,"22,808","22,820","20,641","20,727"
08/18/2022,"22,803","22,967","22,635","22,812"
08/17/2022,"23,353","23,815","22,606","22,803"
08/16/2022,"23,448","23,626","23,057","23,353"
08/15/2022,"23,691","24,547","23,294","23,448"
08/14/2022,"23,871","24,346","23,553","23,698"
08/13/2022,"23,608","24,243","23,468","23,871"
08/12/2022,"23,588","23,683","23,023","23,617"
08/11/2022,"23,291","24,216","23,177","23,588"
08/10/2022,"22,548","23,493","22,132","23,263"
08/09/2022,"23,450","23,450","22,306","22,548"
08/08/2022,"22,669","23,607","22,484","23,450"
08/07/2022,"22,568","22,683","22,272","22,669"
08/06/2022,"22,375","22,743","22,375","22,568"
08/05/2022,"21,922","22,848","21,886","22,375"
08/04/2022,"22,721","22,763","21,862","21,922"
08/03/2022,"22,420","22,997","22,111","22,721"
08/02/2022,"22,432","22,844","22,092","22,420"
08/01/2022,"23,188","23,209","22,287","22,432"
07/31/2022,"23,359","23,539","22,833","23,188"
07/30/2022,"23,332","23,977","23,091","23,359"
07/29/2022,"23,391","23,681","22,879","23,332"
07/28/2022,"22,206","23,542","22,002","23,391"
07/27/2022,"20,422","22,431","20,295","22,206"
07/26/2022,"21,593","21,602","20,216","20,422"
07/25/2022,"22,161","22,412","21,024","21,593"
07/24/2022,"21,742","22,284","21,667","22,161"
07/23/2022,"22,019","22,405","21,410","21,742"
07/22/2022,"22,536","23,076","21,950","22,019"
07/21/2022,"22,702","23,165","21,797","22,536"
07/20/2022,"22,705","23,631","22,333","22,702"
07/19/2022,"20,958","23,049","20,901","22,705"
07/18/2022,"20,397","22,137","20,220","20,958"
07/17/2022,"20,618","21,085","20,314","20,397"
07/16/2022,"20,384","21,003","19,951","20,618"
07/15/2022,"20,126","20,633","19,857","20,384"
07/14/2022,"19,155","20,297","19,134","20,126"
07/13/2022,"18,931","19,496","18,485","19,155"
07/12/2022,"19,874","19,875","18,807","18,931"
07/11/2022,"20,418","20,611","19,776","19,868"
07/10/2022,"21,126","21,175","20,150","20,418"
07/09/2022,"21,270","21,429","20,771","21,108"
07/08/2022,"21,050","21,759","20,660","21,270"
07/07/2022,"19,867","21,244","19,734","21,050"
07/06/2022,"19,588","19,912","18,942","19,867"
07/05/2022,"18,731","19,830","18,588","19,607"
07/04/2022,"18,320","19,036","18,261","18,731"
07/03/2022,"18,501","18,525","18,009","18,320"
07/02/2022,"18,577","18,643","18,215","18,501"
07/01/2022,"17,914","19,838","17,891","18,571"
06/30/2022,"19,190","19,309","17,855","17,914"
06/29/2022,"19,252","19,405","18,902","19,174"
06/28/2022,"19,867","20,128","19,200","19,252"
06/27/2022,"20,333","20,428","19,537","19,867"
06/26/2022,"20,173","20,776","20,093","20,333"
06/25/2022,"20,146","20,460","19,882","20,173"
06/24/2022,"19,769","20,295","19,654","20,146"
06/23/2022,"18,915","19,984","18,847","19,774"
06/22/2022,"19,806","19,942","18,803","18,915"
06/21/2022,"19,433","20,593","19,255","19,806"
06/20/2022,"19,488","19,905","18,860","19,433"
06/19/2022,"16,850","19,615","16,850","19,488"
06/18/2022,"19,599","19,698","16,758","16,850"
06/17/2022,"19,660","20,217","19,219","19,608"
06/16/2022,"20,620","21,767","19,508","19,660"
06/15/2022,"20,905","21,130","19,117","20,613"
06/14/2022,"22,089","22,176","19,857","20,905"
06/13/2022,"26,030","26,153","21,499","22,101"
06/12/2022,"26,585","26,858","25,583","26,030"
06/11/2022,"27,325","27,527","26,370","26,576"
06/10/2022,"28,219","28,348","27,042","27,325"
06/09/2022,"28,269","28,691","28,044","28,211"
06/08/2022,"29,341","29,504","27,962","28,269"
06/07/2022,"29,307","29,531","27,254","29,341"
06/06/2022,"27,933","29,589","27,817","29,307"
06/05/2022,"27,643","28,126","27,557","27,937"
06/04/2022,"27,571","27,794","27,416","27,643"
06/03/2022,"28,377","28,776","27,298","27,575"
06/02/2022,"27,668","28,478","27,537","28,377"
06/01/2022,"29,553","29,739","27,410","27,668"
05/31/2022,"29,079","30,080","29,017","29,553"
05/30/2022,"27,173","29,107","27,165","29,079"
05/29/2022,"27,018","27,420","26,857","27,173"
05/28/2022,"26,819","27,229","26,618","27,018"
05/27/2022,"27,471","27,653","26,368","26,819"
05/26/2022,"28,169","28,244","26,268","27,471"
05/25/2022,"27,853","28,560","27,774","28,169"
05/24/2022,"27,721","27,962","27,130","27,853"
05/23/2022,"28,309","28,976","27,499","27,721"
05/22/2022,"28,259","28,639","27,688","28,309"
05/21/2022,"28,010","28,468","27,845","28,259"
05/20/2022,"29,061","29,529","27,618","28,010"
05/19/2022,"28,091","29,320","27,544","29,061"
05/18/2022,"28,933","29,494","27,652","28,091"
05/17/2022,"28,740","29,549","28,341","28,933"
05/16/2022,"29,765","30,106","28,066","28,740"
05/15/2022,"28,209","29,832","28,184","29,765"
05/14/2022,"28,679","28,948","27,527","28,209"
05/13/2022,"27,164","29,828","26,590","28,679"
05/12/2022,"26,849","28,522","24,534","27,164"
05/11/2022,"29,317","30,415","26,772","26,849"
05/10/2022,"29,562","30,845","28,389","29,317"
